gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000051873_AABR07012762.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055207_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043215_Rtbdn	0.00	0.00	2.00	5.00	2.00
ENSRNOG00000060714_AABR07007744.2	0.00	0.00	0.00	1.00	0.00
ENSRNOG00000023094_RGD1561661	0.00	0.00	0.00	0.00	3.00
ENSRNOG00000046347_Olr1370	1.00	2.00	0.00	3.00	0.00
ENSRNOG00000062136_AABR07006625.2	5.00	5.00	3.00	3.00	0.00
ENSRNOG00000020133_LOC108348044	0.00	0.00	0.00	0.00	4.36
ENSRNOG00000014713_Csgalnact2	128.26	184.00	615.94	495.85	208.92
ENSRNOG00000006804_Ppp1r42	10.00	8.00	8.00	1.00	12.00
ENSRNOG00000057250_AABR07001905.1	102.00	84.00	197.00	130.00	105.00
ENSRNOG00000051235_C2	63.76	3.00	48.00	19.00	134.89
ENSRNOG00000056705_Taar8b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050905_Olr1382	2.00	0.00	0.00	0.00	0.00
ENSRNOG00000031855_Actr3b	0.00	0.00	2.00	8.00	0.00
ENSRNOG00000029512_LOC100361854	150.00	702.00	170.00	236.00	216.00
ENSRNOG00000020726_Sipa1	38.00	13.00	31.00	49.00	39.00
ENSRNOG00000059168_LOC102550392	8.00	9.00	1.00	0.00	0.00
ENSRNOG00000032729_Bex2	97.00	427.00	217.00	104.12	45.00
ENSRNOG00000022364_Dsg4	10.00	26.00	0.00	14.00	0.00
ENSRNOG00000059783_AABR07049631.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007415_Ptgs1	63.00	416.00	4382.00	2533.00	106.00
ENSRNOG00000019000_Limk2	703.00	97.00	506.00	346.00	738.00
ENSRNOG00000033980_Wfdc11	0.00	13.00	2.00	4.00	0.00
ENSRNOG00000055840_AABR07063553.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055737	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050264_AABR07035357.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050494_LOC100910567	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010522_Tlr4	28.00	0.00	25.00	5.00	54.00
ENSRNOG00000052385_AABR07031247.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056762_AABR07016058.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049893_LOC100910934	0.00	2.70	0.00	6.74	0.00
ENSRNOG00000049058_AABR07003935.9	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000045980_Klk1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007597_Rhpn1	231.00	18.00	99.00	50.00	352.00
ENSRNOG00000014907_Aldh8a1	1009.00	82.00	99.00	174.00	1580.00
ENSRNOG00000062078_AABR07006625.1	0.00	2.00	0.00	6.00	0.00
ENSRNOG00000031739_Fam71e1	9.00	24.00	19.00	7.00	7.00
ENSRNOG00000056416_AABR07009910.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043293_Dppa1	1.00	1.00	0.00	1.00	0.00
ENSRNOG00000039640_Defb17	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015695_Sult5a1	2.00	34.00	19.00	10.00	17.00
ENSRNOG00000046577_AABR07002409.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014142_Ogfrl1	9.00	9.00	3.00	7.00	15.00
ENSRNOG00000035540_Mir106b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061392_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055197_AABR07027872.1	2.00	0.00	8.00	1.00	4.00
ENSRNOG00000004398_Pkhd1l1	1.00	0.00	4.00	2.00	1.00
ENSRNOG00000031823_Wfdc6b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005271_Rapgef5	55.00	99.00	592.00	319.00	107.00
ENSRNOG00000006997_App	9543.00	12868.00	36302.00	19597.00	10863.00
ENSRNOG00000004747_Slc30a8	2.00	0.00	0.00	0.00	1.00
ENSRNOG00000027264_Dagla	10.00	3.00	2.00	7.00	8.00
ENSRNOG00000017826_Mtrr	713.00	101.00	670.00	579.00	720.00
ENSRNOG00000050690_Nr2e3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042068_Otud7b	127.00	79.00	158.00	122.00	107.00
ENSRNOG00000059448_Vom1r84	0.00	0.00	0.00	1.00	0.00
